Yellow,#FFFF00
Green (Pantone),#00AD83
Green (Crayola),#01A368
Dark green (X11),#006400
Light green,#90EE90
Lime green,#32CD32
Bright green,#66FF00
Erin,#00FF40
Harlequin,#3FFF00
Neon green,#39FF14
Apple green,#8AB800
Artichoke green (Pantone),#4B6F44
Evergreen,#05472A
Fern green,#4F7942
Fern,#63B76C
Forest green,#228B22
Honeydew,#F0FFF0
Jungle green,#29AB87
Kelly green,#4CBB17
Kombu green,#354230
Laurel green,#A9BA9D
Mantis,#74C365
Moss green,#8A9A5B
Mint green,#98FB98
Myrtle,#21421E
Olive,#808000
Pine green,#01796F
Reseda chartreuse,#6C7C59
Sap green,#507D2A
Tea green,#D0F0C0
Emerald,#50C878
Green earth,#DADD98
Hooker's green,#49796B
Jade,#00A86B
Malachite,#0BDA51
Sea green,#2E8B57
Celadon,#ACE1AF
Hungarian green,#477050
Hunter green,#355E3B
India green,#138808
Islamic green,#009000
MSU green,#18453B
NDHU green,#0D5C33
Pakistan green,#01411C
Persian green,#00A693
Rifle green,#444C38
Russian green,#679267
SGBUS green,#55DD33
Gray/Grey,#808080
Gainsboro,#DCDCDC
Silver,#C0C0C0
Medium gray,#BEBEBE
Spanish gray,#989898
Davy's gray,#555555
Xanadu,#738678
Platinum,#E5E4E2
Ash gray,#B2BEB5
Battleship gray,#848482
Gunmetal,#2A3439
Stone gray,#928E85
Cool gray,#9090C0
Cadet gray,#91A3B0
Blue-gray,#6699CC
Glaucous,#6082B6
Slate gray,#708090
Gray-green,#5E716A
Marengo,#4C5866
Nardo gray,#686a6c
Rose quartz,#AA98A9
Cinereous,#98817B
Greige,#CCC2BA
Cyan,#00FFFF
Cyan (subtractive primary),#00B7EB
Blue-green,#0D98BA
Caribbean Current,#006D6F
Celeste,#B2FFFF
Dark cyan,#008B8B
Electric blue,#7DF9FF
Keppel,#3AB09E
Light cyan,#E0FFFF
Light sea green,#20B2AA
Midnight green,#004953
Moonstone,#3AA8C1
Myrtle green,#317873
Peacock blue,#004958
Robin egg blue,#00CCCC
Skobeloff,#007474
Sky blue (Crayola),#80DAEB
Teal,#008080
Tiffany Blue,#81D8D0
Turquoise,#40E0D0
Verdigris,#43B3AE
Zomp,#39A78D
Brown,#964B00
Red-Brown,#A52A2A
Brown (RYB),#331800
Rosy Brown,#BC8F8F
Burnt umber,#8A3324
Wenge,#645452
Chestnut,#954535
Maroon,#800000
Smokey Topaz,#832A0D
Cigar Brown,#6D4F4B
Desert Sand,#EDC9AF
Dark Brown,#5C4033
Beaver,#9F8170
Cocoa Brown,#D2691E
Russet,#80461B
Buff,#DAA06D
Kobicha,#6B4423
Sandy Brown,#F4A460
Peru,#CD853F
Taupe,#483C32
Walnut Brown,#5C5248
Chocolate,#7B3F00
Raw Umber,#826644
Wood Brown,#C19A6B
Tan,#D2B48C
Sepia,#704214
Khaki,#C3B091
Beige,#F5F5DC
Saddle Brown,#8b4513
Manhattan,#F8C898
Blue,#0000FF
Blue (CMYK) (pigment blue),#333399
Blue (Pantone),#0018A8
Medium Sky Blue,#00DEFF
Periwinkle,#CCCCFF
Neon Blue,#4D4DFF
Blurple,#5865f2
Bluebonnet,#1C1CF0
Twin Bed,#BEDBED
Original Blurple,#7289DA
Savoy blue,#4B61D1
Medium Blue,#0000CD
Process Blue C,#0085CA
Liberty,#545AA7
Egyptian Blue,#1034A6
International Klein Blue,#002FA7
Ultramarine,#120A8F
Dark Blue,#00008B
Picotee Blue,#2E2787
Navy Blue,#000080
Midnight Blue,#191970
Independence,#4C516D
Cool black (PMS 295),#002E63
Space Cadet,#1E2952
Powder Blue,#B0E0E6
Argentinian Blue,#6CB4EE
Ruddy Blue,#76ABDF
Celtic Blue,#246BCE
Spanish Blue,#0070B8
Delft Blue,#1F305E
Duck Blue,#007791
Resolution Blue,#002387
Polynesian Blue,#224C98
Chefchaouen Blue,#468fEA
Fluorescent blue,#15F4EE
Teal blue,#367588
Azure,#0080FF
Azure mist,#F0FFFF
Alice Blue,#F0F8FF
Uranian Blue,#AFDBF5
Light blue,#ADD8E6
Columbia Blue,#B9D9EB
Cloudy Blue,#9BBCD8
Baby blue,#89CFF0
Light Sky Blue,#87CEFA
Sky Blue,#87CEEB
Deep Sky Blue,#00BFFF
Cerulean,#007BA7
Pale azure,#87D3F8
Green-blue,#1164B4
Maya Blue,#73C2FB
Jordy Blue,#8AB9F1
Picton Blue,#45B1E8
United Nations Blue,#009EDB
Cornflower Blue,#6495ED
Bleu de France,#318CE7
Dodger Blue,#1E90FF
Brandeis Blue,#0070FF
True Blue,#2D68C4
Tang Blue,#0059CF
Puerto Rican Blue,#0044ff
Royal Blue (web color),#4169E1
Celestial Blue,#4997D0
Vista Blue,#7C9ED9
Silver Lake Blue,#5D89BA
Tufts Blue,#3E8EDE
Honolulu Blue,#0076B6
Air Force Blue,#5D8AA8
Steel Blue,#4682B4
French Blue,#0072BB
Lapis Lazuli,#26619C
Royal blue (traditional),#002366
Blue (NCS),#0087BD
Blue (Munsell),#0093AF
Berkeley Blue,#003262
Blue (Crayola),#1F75FE
"Yale ""Blue Site"" Blue",#00356B
University of Pennsylvania Blue,#011F5B
Sapphire,#082567
Black,#000000
Dim gray,#696969
Ebony,#555D50
Charcoal,#36454F
Outer Space,#414A4C
Bean,#3D0C02
Olive (RAL),#3B3C36
Onyx,#353839
Jet,#343434
Jet black (RAL 9005),#0E0E10
Raisin Black,#242124
Charleston green,#232B2B
Eerie black,#1B1B1B
Licorice,#1A1110
